name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with transparency and blur,background: rgba(255 255 255 / 0.1); backdrop-filter: blur(12px); border: 1px solid rgba(255 255 255 / 0.2); border-radius: 16px,SaaS dashboards fintech cards modern overlays,Use on cards over gradient backgrounds; keep blur 8-16px; add subtle border,Apply to entire page background; use without backdrop-filter support fallback; stack multiple glass layers
Neumorphism,Soft extruded UI with dual shadows,background: #e0e0e0; box-shadow: 8px 8px 16px #bebebe -8px -8px 16px #ffffff; border-radius: 12px,Calculator apps music players toggle switches,Use sparingly for interactive elements; keep to single background color; ensure sufficient contrast,Use for text-heavy content; apply to entire layouts; use on dark backgrounds
Brutalism,Raw bold design with harsh elements,border: 3px solid black; box-shadow: 4px 4px 0 black; font-weight: 900; text-transform: uppercase,Creative agencies portfolios experimental sites,Use for headlines and CTAs; embrace asymmetry; pair with bold typography,Apply to healthcare or finance; use for long-form reading; ignore accessibility
Minimalism,Clean design with maximum whitespace,max-width: 680px; margin: 0 auto; padding: 4rem 2rem; line-height: 1.8; color: #333,Luxury brands portfolios editorial content,Use generous whitespace; limit color palette to 2-3 colors; focus on typography,Leave pages feeling empty; sacrifice usability for aesthetics; hide navigation
Dark Mode,Dark backgrounds with light text and accent colors,background: #0f172a; color: #f8fafc; --accent: #818cf8; selection background: rgba(129 140 248 / 0.3),Developer tools gaming fintech dashboards,Reduce pure white text to #f8fafc; use accent colors for interactive elements; respect prefers-color-scheme,Use pure black #000 background; use pure white #fff text; ignore contrast ratios
Gradient Mesh,Multi-color gradient backgrounds with mesh patterns,background: linear-gradient(135deg #667eea 0% #764ba2 100%); can use CSS mesh gradient generators,AI/ML platforms startups creative tools,Use as hero backgrounds; animate subtly; pair with white text and glass cards,Use as body background; combine too many colors; animate aggressively causing motion sickness
Flat Design,Clean solid colors with no shadows or gradients,No shadows; solid background colors; simple icons; clear hierarchy through size and color only,Mobile apps education platforms productivity tools,Use consistent icon sets; maintain clear visual hierarchy; use color meaningfully,Make everything the same visual weight; lose depth entirely; ignore hover states
Material Design,Google's design system with elevation and motion,box-shadow elevation system; 8dp grid; ripple effects on interactions; 4px border-radius,Android apps Google ecosystem enterprise tools,Follow the elevation system; use ripple feedback; maintain 8dp grid,Mix with iOS design patterns; ignore touch targets; skip motion guidelines
Retro/Vintage,Nostalgic design with vintage color palettes,Muted warm colors; serif fonts; texture overlays; rounded corners; grain effects,Food brands craft businesses creative portfolios,Use authentic vintage color palettes; add subtle grain texture; pair vintage and modern fonts,Sacrifice readability; overdo texture effects; use for professional services
Organic/Natural,Soft shapes with earthy tones and natural textures,border-radius: 30% 70% 70% 30% / 30% 30% 70% 70%; earth tone palette; subtle grain,Wellness brands sustainability eco products,Use blob shapes for visual interest; earthy muted palette; organic illustrations,Use harsh geometric shapes; neon colors; aggressive animations
Bento Grid,Grid-based layout with varied card sizes like bento box,display: grid; grid-template-columns: repeat(4 1fr); gap: 1rem; varied span sizes,Feature showcases portfolios dashboard overviews,Vary card sizes for visual hierarchy; use consistent border-radius; add hover interactions,Make all cards the same size; overcrowd the grid; ignore mobile responsiveness
Split Screen,Two-column layout with distinct content sections,display: grid; grid-template-columns: 1fr 1fr; min-height: 100vh; contrasting sides,Landing pages comparison sections about pages,Use contrasting colors or content types; ensure mobile stacking works; add scroll interactions,Force split on mobile; use for text-heavy content; ignore readability
Hero Typography,Oversized typography as the main visual element,font-size: clamp(3rem 8vw 8rem); font-weight: 900; line-height: 0.9; letter-spacing: -0.03em,Agency sites product launches brand pages,Use variable fonts for weight animation; add subtle text effects; ensure responsive sizing,Use for body content; ignore loading performance of large fonts; sacrifice readability
Claymorphism,Soft 3D clay-like UI elements,background: #f2f2f2; border-radius: 24px; box-shadow: inset 2px 2px 4px rgba(255 255 255 0.8) inset -2px -2px 4px rgba(0 0 0 0.1),Playful apps education platforms kids products,Use soft pastel colors; keep rounded corners; add subtle inner shadows,Apply to serious professional contexts; use harsh colors; skip the inner shadow
