category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use smooth scroll for anchor links,Add smooth scrolling behavior to anchor navigation,html { scroll-behavior: smooth; } or element.scrollIntoView({ behavior: 'smooth' }),Jump instantly to anchors causing disorientation,html { scroll-behavior: auto; } with anchor href="#section",MEDIUM
Navigation,Sticky navigation on scroll,Keep nav visible as users scroll down long pages,position: sticky; top: 0; z-index: 50; backdrop-filter: blur(8px),Navigation disappears on scroll requiring scroll to top,position: static on nav with no scroll persistence,HIGH
Navigation,Breadcrumb trail for deep pages,Show breadcrumbs for pages 3+ levels deep,<nav aria-label="Breadcrumb"><ol>...</ol></nav> with structured data,No breadcrumbs on deeply nested pages,Missing breadcrumb navigation on category > subcategory > product pages,MEDIUM
Navigation,Mobile hamburger with clear label,Use recognizable hamburger icon with aria-label,<button aria-label="Open menu" aria-expanded="false">☰</button>,Custom abstract icon for mobile menu,<div onclick="toggleMenu()">···</div> with no accessibility,HIGH
Navigation,Highlight active navigation state,Show users which page/section they are on,nav a[aria-current="page"] { color: var(--primary); border-bottom: 2px solid; },No active state indicator on navigation items,.nav-link { color: gray; } with no active differentiation,MEDIUM
Animation,Respect reduced motion preference,Check and honor prefers-reduced-motion media query,@media (prefers-reduced-motion: reduce) { * { animation: none; transition: none; } },Ignore motion sensitivity and force all animations,Playing all animations regardless of user preference,HIGH
Animation,Keep transitions under 300ms for UI feedback,Use 150-300ms for micro-interactions,transition: all 200ms ease-out; for hover states and button feedback,Slow transitions over 500ms that feel sluggish,transition: all 800ms ease-in-out; on button hover,MEDIUM
Animation,Use easing curves not linear,Apply natural easing to all animations,transition: transform 200ms cubic-bezier(0.4 0 0.2 1),Linear timing feels mechanical and unnatural,transition: transform 200ms linear,LOW
Animation,Stagger list animations,Animate list items with sequential delays,animation-delay: calc(var(--index) * 50ms) for list children,All items animate simultaneously losing visual flow,All list items with identical animation-delay: 0ms,LOW
Animation,Entrance animations should be subtle,Use opacity and small transforms for page entrances,@keyframes fadeIn { from { opacity: 0; transform: translateY(8px); } },Large dramatic entrance animations that distract,@keyframes slideIn { from { transform: translateY(100px); } },MEDIUM
Forms,Always use visible labels above inputs,Place text labels above form fields not as placeholders,<label for="email">Email</label><input id="email" type="email">,Placeholder-only labels that disappear on focus,<input placeholder="Email" /> with no label element,HIGH
Forms,Show inline validation errors below the field,Display error messages immediately below the relevant field,<input aria-invalid="true" /><span role="alert" class="error">Required field</span>,Show all errors at top of form away from fields,<div class="errors-banner">Please fix the following...</div> at page top,HIGH
Forms,Use appropriate input types,Match input type to expected data for mobile keyboards,<input type="email"> <input type="tel"> <input type="url">,Use type="text" for all inputs ignoring mobile optimization,<input type="text"> for email phone and number fields,MEDIUM
Forms,Multi-step forms with progress indicator,Break long forms into steps with visible progress,Step 1 of 3 progress bar with completed/current/upcoming states,One long scrolling form with 15+ fields,Single page form with all fields visible overwhelming users,HIGH
Forms,Autofocus first field on form pages,Set focus to the first input when form page loads,<input autofocus /> or formRef.current.elements[0].focus(),No autofocus requiring users to click into first field,Form loads with no focused element,LOW
Accessibility,Maintain 4.5:1 contrast ratio for text,Ensure all text meets WCAG AA contrast requirements,color: #1e293b on background: #f8fafc (contrast 13.5:1),Low contrast text that is hard to read,color: #94a3b8 on background: #f1f5f9 (contrast 2.1:1),HIGH
Accessibility,All images must have alt text,Provide descriptive alt text for meaningful images,<img src="chart.png" alt="Revenue grew 40% in Q3 2024" />,Missing alt text on images,<img src="chart.png" /> with no alt attribute,HIGH
Accessibility,Keyboard navigable interactive elements,Ensure all clickable elements are keyboard accessible,<button onclick="..."> or <a href="..."> with visible focus styles,Clickable div elements with no keyboard support,<div onclick="handleClick()" class="card"> with no tabindex or role,HIGH
Accessibility,Focus visible outlines,Show clear focus indicators for keyboard navigation,*:focus-visible { outline: 2px solid var(--primary); outline-offset: 2px; },Remove default focus outlines with no replacement,*:focus { outline: none; } globally without alternative,HIGH
Accessibility,Use semantic HTML elements,Use proper HTML5 semantic elements for structure,<nav> <main> <section> <article> <aside> <footer>,Div soup with no semantic meaning,<div class="nav"> <div class="main"> <div class="footer">,HIGH
Accessibility,Provide skip navigation link,Add skip to content link for keyboard users,<a href="#main" class="sr-only focus:not-sr-only">Skip to content</a>,No skip link forcing tab through entire navigation,Missing skip navigation link on content-heavy pages,MEDIUM
Accessibility,ARIA labels for icon-only buttons,Add accessible names to buttons with no visible text,<button aria-label="Close dialog"><svg>...</svg></button>,Icon buttons with no accessible name,<button><svg>...</svg></button> with no aria-label or title,HIGH
Accessibility,Color is not the only indicator,Use icons shapes or text in addition to color for status,<span class="error">✕ Error: Invalid email</span> with red color AND icon,Using only red/green color to indicate error/success,<span style="color:red">Invalid</span> with no icon or additional cue,HIGH
Performance,Lazy load images below the fold,Only load images when they approach the viewport,<img loading="lazy" src="..." alt="..." />,Load all images on page load regardless of visibility,<img src="..." /> without loading="lazy" for below-fold images,HIGH
Performance,Use responsive images with srcset,Serve appropriate image sizes for different screens,<img srcset="small.jpg 400w medium.jpg 800w large.jpg 1200w" sizes="..." />,Serve full-size images to all devices,<img src="full-size-4000px.jpg" /> for all screen sizes,HIGH
Performance,Optimize web fonts loading,Use font-display swap to prevent invisible text,@font-face { font-display: swap; } or <link rel="preload" as="font">,Block rendering until fonts load showing invisible text,@font-face { font-display: block; } causing flash of invisible text,MEDIUM
Performance,Minimize layout shift (CLS),Reserve space for dynamic content and images,<img width="800" height="600" /> or aspect-ratio: 16/9 on containers,Content shifts as images and ads load,<img src="..." /> with no dimensions causing layout shift,HIGH
Performance,Code split route-level components,Lazy load page components to reduce initial bundle,const Page = lazy(() => import('./Page')) with Suspense fallback,Loading entire app bundle on first page visit,import Page from './Page' for all routes in main bundle,MEDIUM
Typography,Use a modular type scale,Apply consistent sizing ratio across text levels,--scale: 1.25; h1: 3.052rem h2: 2.441rem h3: 1.953rem h4: 1.563rem,Random font sizes with no consistent relationship,h1: 36px h2: 28px h3: 19px h4: 17px with no clear ratio,MEDIUM
Typography,Line height 1.5-1.8 for body text,Set comfortable line height for readability,body { line-height: 1.6; } p { line-height: 1.7; },Tight line height making text hard to read,body { line-height: 1.1; } or line-height: 1.0,HIGH
Typography,Maximum line length 65-75 characters,Constrain paragraph width for readability,p { max-width: 65ch; } or .content { max-width: 680px; },Full-width text spanning entire viewport,p { width: 100%; } with no max-width on wide screens,MEDIUM
Typography,Responsive font sizing with clamp,Use clamp() for fluid typography across breakpoints,font-size: clamp(1rem 2.5vw 1.25rem) for responsive scaling,Fixed pixel font sizes that don't scale,.heading { font-size: 48px; } with no responsive adjustment,MEDIUM
Color,Use CSS custom properties for theming,Define color palette as CSS variables for consistency,:root { --primary: #2563eb; --secondary: #3b82f6; --cta: #f97316; },Hardcoded hex values scattered throughout CSS,background: #2563eb repeated in 47 different selectors,MEDIUM
Color,Consistent hover state colors,Darken or lighten by consistent amount on hover,button:hover { background: color-mix(in srgb var(--primary) 85% black); },Random hover colors with no relationship to base,.btn:hover { background: #random-unrelated-color; },LOW
Color,Accessible color combinations,Test all color combinations against WCAG guidelines,Primary on white: 4.5:1+ ratio; CTA on dark: 4.5:1+ ratio,Color combinations that fail contrast checks,Yellow text on white background; light gray on white,HIGH
Layout,Use consistent spacing scale,Apply spacing from a defined scale (4px 8px 12px 16px 24px 32px 48px 64px),gap: var(--space-4); padding: var(--space-6); margin-bottom: var(--space-8),Random spacing values with no system,padding: 13px; margin: 7px; gap: 11px with no consistency,MEDIUM
Layout,Mobile-first responsive design,Start with mobile layout and enhance for larger screens,@media (min-width: 768px) { .grid { grid-template-columns: repeat(2 1fr); } },Desktop-first design that breaks on mobile,@media (max-width: 767px) { /* fix mobile */ } as an afterthought,HIGH
Layout,Touch targets minimum 44x44px,Ensure all interactive elements are large enough for touch,button { min-height: 44px; min-width: 44px; } a { padding: 12px; },Small touch targets that are hard to tap on mobile,button { padding: 2px 4px; font-size: 11px; } for mobile,HIGH
Layout,Container max-width with centered content,Constrain content width for readability on large screens,.container { max-width: 1280px; margin: 0 auto; padding: 0 1rem; },Full-width content stretching across ultrawide monitors,.content { width: 100%; } with no max-width constraint,MEDIUM
