pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Features + CTA,Hero → Features Grid → Social Proof → Pricing → Final CTA,Above fold primary CTA; repeated after social proof,Primary in hero; neutral features section; CTA color for buttons throughout,Glassmorphism hero cards; hover lift on features; smooth scroll between sections,Keep hero headline under 8 words; show value prop in 3 seconds; single primary CTA per viewport
SaaS Conversion,Hero with demo → Pain points → Solution features → Testimonials → Pricing table → FAQ → CTA,Hero CTA (Start Free Trial); sticky header CTA; post-pricing CTA,Gradient hero; white features section; dark social proof; primary pricing highlight,Animated hero illustration; feature reveal on scroll; pricing toggle animation,Lead with the pain point not the product; show pricing early; use annual/monthly toggle defaulting to annual
Product Launch,Full-screen hero video → Problem/Solution → Product showcase → Features → Early access CTA,Centered hero CTA; floating bottom bar on scroll,Dark cinematic hero; light product section; accent CTAs,Autoplay muted video hero; parallax product shots; countdown timer,Create urgency with limited access; show the product in use; use social proof numbers
Before-After Transformation,Hero with transformation → Before state → After state → How it works → Testimonials → CTA,After the transformation reveal; bottom of page,Muted before section; vibrant after section; CTA in accent color,Slider before/after comparison; animated statistics; scroll-triggered reveals,Show the transformation visually not just in text; use real customer results; make the before state relatable
Storytelling Scroll,Narrative hero → Chapter sections → Character/founder story → Mission → Join CTA,End of story arc; embedded in narrative,Evolving palette that shifts with the story; warm emotional tones,Parallax storytelling; text reveals; ambient background changes,Make the reader the hero of the story; keep sections focused; end with emotional CTA
Social Proof Heavy,Hero with metrics → Logo bar → Testimonial carousel → Case studies → Features → CTA,After logo bar; after case studies,Trust-building blues and greens; neutral backgrounds; accent CTAs,Counter animations for metrics; testimonial auto-scroll; logo bar marquee,Lead with impressive numbers; show recognizable logos; use video testimonials
Pricing-First,Hero → Pricing table → Feature comparison → Testimonials → FAQ → CTA,Pricing table is above fold; secondary CTA after FAQ,Highlight recommended plan with primary color; neutral comparison table,Pricing toggle animation; feature tooltip reveals; plan highlight glow,Default to recommended plan; use checkmarks vs X marks; show savings on annual
Dashboard Preview,Hero with app screenshot → Feature walkthrough → Integration logos → Pricing → CTA,Hero CTA (Get Started); after feature walkthrough,Dark app preview; light explainer sections; primary CTAs,App screenshot with hover hotspots; feature tab switching; integration logo grid,Show the actual product not illustrations; highlight the aha moment; use interactive preview
Comparison/Alternative,Hero (Better than X) → Comparison table → Unique features → Migration guide → Testimonials → CTA,After comparison table; after migration guide,Competitive red/orange for comparison; green for your advantages,Animated comparison checkmarks; side-by-side highlights; migration step reveals,Be specific about differences; show migration is easy; use competitor user testimonials
Community-Driven,Hero with community stats → Member spotlight → Activity feed → Events → Join CTA,Hero CTA (Join Community); after member spotlights,Warm community colors; vibrant member sections; inclusive design,Live activity feed animation; member avatar grid; event countdown,Show community activity is real and recent; highlight member diversity; make joining feel easy
