name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Corporate Trust,Sans + Sans,Plus Jakarta Sans,Inter,professional trustworthy stable,enterprise fintech banking,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|Inter
Friendly Rounded,Sans + Sans,Nunito,Quicksand,warm approachable friendly,kids education non-profit,https://fonts.google.com/share?selection.family=Nunito|Quicksand
Bold Impact,Display + Sans,Bebas Neue,Source Sans 3,strong bold attention-grabbing,fitness sports automotive,https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3
Editorial Clean,Serif + Sans,Lora,Roboto,editorial readable scholarly,media blogs news magazines,https://fonts.google.com/share?selection.family=Lora|Roboto
Geometric Modern,Sans + Sans,Poppins,Work Sans,geometric modern balanced,general purpose versatile,https://fonts.google.com/share?selection.family=Poppins|Work+Sans
Creative Expressive,Display + Sans,Syne,Inter,creative bold artistic,agency portfolio creative studio,https://fonts.google.com/share?selection.family=Syne|Inter
Medical Professional,Sans + Sans,Outfit,Source Sans 3,clinical clear professional,healthcare pharmacy telehealth,https://fonts.google.com/share?selection.family=Outfit|Source+Sans+3
Minimalist Swiss,Sans + Sans,Helvetica Neue,Inter,minimal clean precise,architecture luxury minimalist brands,https://fonts.google.com/share?selection.family=Inter
Warm Humanist,Serif + Sans,Merriweather,Open Sans,warm human trustworthy,non-profit education consulting,https://fonts.google.com/share?selection.family=Merriweather|Open+Sans
Playful Fun,Display + Sans,Fredoka,Nunito Sans,playful fun energetic,kids gaming entertainment,https://fonts.google.com/share?selection.family=Fredoka|Nunito+Sans
Luxe Serif,Serif + Serif,Cormorant Garamond,EB Garamond,luxurious timeless classic,fine dining wine luxury real estate,https://fonts.google.com/share?selection.family=Cormorant+Garamond|EB+Garamond
Fintech Sharp,Sans + Sans,Manrope,Inter,sharp precise modern,fintech crypto trading platforms,https://fonts.google.com/share?selection.family=Manrope|Inter
Earthy Natural,Serif + Sans,Bitter,Cabin,earthy natural grounded,sustainability organic wellness,https://fonts.google.com/share?selection.family=Bitter|Cabin
Urban Street,Display + Sans,Oswald,Barlow,urban bold street,fashion streetwear music,https://fonts.google.com/share?selection.family=Oswald|Barlow
Soft Wellness,Sans + Sans,Outfit,DM Sans,soft calm soothing,yoga wellness spa meditation,https://fonts.google.com/share?selection.family=Outfit|DM+Sans
Legal Formal,Serif + Sans,Source Serif 4,Source Sans 3,formal authoritative serious,legal accounting government,https://fonts.google.com/share?selection.family=Source+Serif+4|Source+Sans+3
E-commerce Clean,Sans + Sans,Figtree,Inter,clean readable scannable,e-commerce marketplace retail,https://fonts.google.com/share?selection.family=Figtree|Inter
Photography Art,Serif + Sans,Cormorant,Montserrat,artistic elegant visual,photography art gallery portfolio,https://fonts.google.com/share?selection.family=Cormorant|Montserrat
Real Estate Modern,Sans + Sans,Clash Display,Satoshi,modern premium aspirational,real estate property luxury homes,https://fonts.google.com/share?selection.family=DM+Sans|Inter
Travel Adventure,Sans + Sans,Montserrat,Hind,adventurous open explorative,travel tourism adventure outdoor,https://fonts.google.com/share?selection.family=Montserrat|Hind
News Editorial,Serif + Sans,Libre Baskerville,Libre Franklin,authoritative readable informative,news media journalism,https://fonts.google.com/share?selection.family=Libre+Baskerville|Libre+Franklin
Social Modern,Sans + Sans,General Sans,Inter,social modern engaging,social media apps community,https://fonts.google.com/share?selection.family=Inter|DM+Sans
Restaurant Charm,Serif + Sans,DM Serif Display,DM Sans,charming inviting appetizing,restaurant cafe bakery,https://fonts.google.com/share?selection.family=DM+Serif+Display|DM+Sans
Gaming Bold,Display + Sans,Rajdhani,Exo 2,futuristic bold dynamic,gaming esports tech,https://fonts.google.com/share?selection.family=Rajdhani|Exo+2
Wedding Romantic,Serif + Sans,Cormorant Garamond,Josefin Sans,romantic delicate graceful,wedding events invitations,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Josefin+Sans
Education Clear,Sans + Sans,Lexend,Inter,clear accessible readable,education e-learning accessibility,https://fonts.google.com/share?selection.family=Lexend|Inter
Music Edgy,Display + Sans,Unbounded,Space Grotesk,edgy creative musical,music entertainment nightlife,https://fonts.google.com/share?selection.family=Unbounded|Space+Grotesk
