product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
SaaS (General),Hero + Features + CTA,Trust blue + Orange CTA,Clean geometric sans-serif,Glassmorphism cards hover lift,Cluttered hero with too many CTAs,HIGH
SaaS (Enterprise),Conversion-Optimized Dashboard,Deep blue + Amber accents,Professional stable sans-serif,Subtle shadows card hierarchy,Playful animations in serious contexts,HIGH
SaaS (Startup),Bold gradient hero,Purple gradient + Orange CTA,Modern geometric sans-serif,Animated gradients micro-interactions,Generic stock photos in hero,MEDIUM
E-commerce (General),Product-Grid Focus,Green trust + Orange urgency,Clean scannable sans-serif,Hover zoom quick-view overlays,Auto-playing video on product pages,HIGH
E-commerce (Fashion),Visual-First Editorial,Dark minimal + Pink accent,Editorial serif headlines,Parallax scrolling image transitions,Cluttered product pages with too many badges,HIGH
E-commerce (Electronics),Spec-Comparison Layout,Blue trust + Red deals,Technical clean sans-serif,Comparison tables hover highlights,Missing technical specifications,HIGH
E-commerce (Luxury),Whitespace-Heavy Minimal,Black gold minimal,Elegant thin serif,Smooth scroll reveal animations,Discount badges and flash sale banners,HIGH
Fintech/Crypto,Conversion-Optimized,Deep purple + Amber accents,Modern sans-serif sharp,Dark mode glassmorphism data viz,Light backgrounds reduce trust perception,MEDIUM
Fintech (Banking),Trust-First Clean,Teal trust + Green success,Professional stable sans-serif,Subtle transitions secure indicators,Flashy animations reduce perceived security,HIGH
Fintech (Insurance),Reassurance Layout,Blue calm + Green action,Warm trustworthy sans-serif,Progressive disclosure smooth forms,Complex jargon without explanations,HIGH
Healthcare App,Clean Clinical,Cyan calm + Green action,Clinical clear sans-serif,Smooth transitions accessible motion,Red as primary color triggers anxiety,HIGH
Healthcare (Telehealth),Friendly Professional,Teal warm + Blue action,Friendly readable sans-serif,Video-ready layouts subtle animations,Cold clinical aesthetic for patient-facing,MEDIUM
Healthcare (Fitness),Energetic Dashboard,Purple energy + Orange motivation,Bold dynamic sans-serif,Progress animations data visualization,Overwhelming data without hierarchy,MEDIUM
Restaurant/Food,Menu-First Visual,Warm red + Gold accents,Friendly rounded serif,Food photography parallax hover effects,Stock photos instead of real food,HIGH
Restaurant (Fine Dining),Elegant Minimal,Dark brown + Gold luxury,Elegant classic serif,Subtle reveal animations,Cluttered menus with too many items visible,HIGH
Restaurant (Fast Casual),Fun Vibrant,Orange energy + Green fresh,Playful rounded sans-serif,Bouncy micro-interactions,Slow loading food images,HIGH
Coffee/Cafe,Warm Artisanal,Brown warm + Gold accent,Earthy warm serif,Parallax coffee imagery smooth scroll,Generic chain-restaurant aesthetic,MEDIUM
Luxury/Premium,Whitespace Editorial,Black + Gold minimal,Thin elegant serif,Reveal animations smooth scroll,Bright colors and busy patterns,HIGH
Education (K-12),Friendly Colorful,Blue trust + Yellow energy,Friendly rounded sans-serif,Playful transitions gamification,Text-heavy pages without visual breaks,HIGH
Education (EdTech),Modern Learning,Purple innovation + Orange engagement,Modern clean sans-serif,Progress indicators interactive elements,Overwhelming content without structure,HIGH
